_id,AnnoS,AteneoCOD,AteneoNOME,ClasseNUMERO,CorsoNOME,SedeC,IstatP,Lau
1,2020,6307,Napoli Pegaso - telematica,L-18,Economia Aziendale,NAPOLI,63,2625
2,2019,6307,Napoli Pegaso - telematica,L-18,Economia Aziendale,NAPOLI,63,2128
3,2020,6307,Napoli Pegaso - telematica,L-19,Scienze dell'Educazione e della Formazione,NAPOLI,63,1594
4,2020,6307,Napoli Pegaso - telematica,L-22,Scienze Motorie,NAPOLI,63,1536
5,2018,6307,Napoli Pegaso - telematica,L-18,Economia Aziendale,NAPOLI,63,1504
6,2016,6307,Napoli Pegaso - telematica,LMG/01,Giurisprudenza,NAPOLI,63,1470
7,2017,6307,Napoli Pegaso - telematica,LMG/01,Giurisprudenza,NAPOLI,63,1439
8,2020,6307,Napoli Pegaso - telematica,LMG/01,Giurisprudenza,NAPOLI,63,1403
9,2019,6307,Napoli Pegaso - telematica,LMG/01,Giurisprudenza,NAPOLI,63,1352
10,2018,6307,Napoli Pegaso - telematica,LMG/01,Giurisprudenza,NAPOLI,63,1233
11,2019,6307,Napoli Pegaso - telematica,L-22,Scienze Motorie,NAPOLI,63,1164
12,2020,6307,Napoli Pegaso - telematica,LM-56,Scienze Economiche,NAPOLI,63,1148
13,2018,6301,Napoli Federico II,LMG/01,Corso di Laurea Magistrale in Giurisprudenza,NAPOLI,63,1128
14,2017,6301,Napoli Federico II,LMG/01,Corso di Laurea Magistrale in Giurisprudenza,NAPOLI,63,1095
15,2020,101,Torino,L-18,Economia Aziendale,TORINO,1,1081
16,2020,1504,Milano Cattolica,L-18,Economia e Gestione Aziendale,MILANO,15,1078
17,2016,1503,Milano Bocconi,L-18,Economia Aziendale e Management,MILANO,15,1064
18,2019,6307,Napoli Pegaso - telematica,L-19,Scienze dell'Educazione e della Formazione,NAPOLI,63,1059
19,2015,6307,Napoli Pegaso - telematica,LMG/01,Giurisprudenza,NAPOLI,63,1057
20,2015,1503,Milano Bocconi,L-18,Economia Aziendale e Management,MILANO,15,1038
21,2020,6307,Napoli Pegaso - telematica,LM-85,Scienze Pedagogiche,NAPOLI,63,1035
22,2018,5815,Roma UNICUSANO - telematica,L-36,Scienze Politiche e Relazioni Internazionali,ROMA,58,1019
23,2019,6301,Napoli Federico II,LMG/01,Corso di Laurea Magistrale in Giurisprudenza,NAPOLI,63,994
24,2019,1504,Milano Cattolica,L-18,Economia e Gestione Aziendale,MILANO,15,973
25,2019,1503,Milano Bocconi,L-18,Economia Aziendale e Management,MILANO,15,959
26,2020,6301,Napoli Federico II,LMG/01,Corso di Laurea Magistrale in Giurisprudenza,NAPOLI,63,938
